Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ireland,0,0,0,62.2,61.4,63,60.6,61.7,70.1,53.8,63.8,56.9,56.9,59.4,60.2,55.4,54.5,57.6,68.5,58.9,70.5,75.4,75.8
Israel,44.7,0,45.2,43.9,48.1,50.7,44.6,51.9,56.8,56.7,57.2,61,57.6,61.2,63.8,65.7,62.3,59.8,58.2,59.8,68.4,61.2,58.6
Italy,40.7,50.7,55.2,60.3,63.4,66.6,68.3,66.6,64.9,66.3,65.6,62.4,62.7,54.2,55.4,48.6,49.9,52,52.7,53.1,54.6,65.3,58.1
Japan,0,28,35,43,48,49,48,53,56,50,53,52,50,50,50,51,50,48,48,50,66,0,0
Korea,0,0,0,0,75.7,77.3,0,70.2,73.6,74.3,77.1,79.6,77.4,0,79.8,81.7,84.4,82.7,85.1,85.8,80.7,80.1,0
Latvia,0,0,0,0,0,0,0,3.1,2.2,2.6,1.2,2,1.7,3.1,2.8,2.5,4.3,6.9,7.7,11.7,9.1,7.7,0
Lithuania,0,0,0,0,0,0,1.8,1.6,12.5,11.7,11.2,9.1,9,9.7,9.8,10.3,9.6,11.3,13.4,14.8,21.5,26.3,21.5
Luxembourg,0,42.8,46,49.1,51,54.3,51.3,53,53.7,52.3,45.2,45.4,43.3,42.1,40.1,39.5,38,37.6,39.8,40.4,46.3,44.2,0
Mexico,0,0,0,0,0,0,51.1,34.6,76.1,88.2,71.1,74.9,68.7,79,82.6,0,94.4,88.4,78.7,77.1,71.5,73.3,68.4
Netherlands,76,76,78,77,82,83.5,82.1,81.9,82.5,81.1,80.6,77.2,74.3,72.2,67.8,66.5,62.9,60.4,60.3,61.3,67.9,72.6,0
New Zealand,0,0,51,63.2,58,60.6,63.6,63.7,63.7,66.5,66.9,65.5,64.3,69,69,67.3,67,65,65,62,73,69,71
Norway,0,0,0,0,0,0,0,0,0,43.9,7.7,14.1,11.4,30.9,26.9,27,38,34.4,38.2,43,57,65.5,63.3
Poland,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,9.7,0,0,0,0,10.4,0,10,0
Portugal,39,0,41.9,36.9,46.9,39,41.6,50.4,51,53.3,52.2,48.3,43.4,44.9,49.9,50.9,50.1,57.5,60.8,55.7,60.4,66.2,0
Slovak Republic,20.7,31.5,0,37.9,22.9,29.3,25.7,33.4,35.5,30.5,23.8,21.9,15.4,15.6,14.1,13.8,13.3,13,12.5,11.5,12.8,12.9,0
Slovenia,35,29,26,33,30,33.8,27.5,25.6,25.2,21.9,17.7,15.9,14.5,12.8,10.9,10.4,9.8,11.8,12.9,18.8,27,24.5,0
Spain,0,61.5,61.9,67.2,68,68.6,70.1,67.5,62.3,65.4,65.7,56.9,57.7,57,56.2,56.2,56.1,55.5,55.7,54.3,54.7,67.7,69.5
Sweden,0,0,0,0,51,55,61,57,58,65.8,44,55.2,46.1,44.3,45.8,49.7,49.1,49.4,49.8,52.2,52.8,60.4,70
Switzerland,51,54,55,58,57,59,61,56,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,9.9,0,12.2,0,13.2,0,9,0,7,0,0,5.9,0,0,0
United Kingdom,65,68,69,71,71,75,75.1,73.2,73.6,72.3,72.8,74,73.5,73.3,72.8,71.1,70.5,72.6,72,72.4,72.4,80.9,0
United States,64.3,63,65.6,65.5,64.4,59.5,64.1,66.7,66.9,66.7,63.6,67,66.5,67.9,70,69.1,67.2,67.8,68.7,70.5,70.8,72.8,0
  Bulgaria,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,2.4,0,0,0,0,3.5,5.8,8.9,0
  Croatia,0,28,30,36,36,38,40,44,40,46,39,34,30,23,21,19,21.5,21,23,29,34,39,31
  Romania,0,0,0,0,0,0,0,16.9,52.5,48.1,27.9,18.8,9.1,14.6,8.6,7.2,9.8,7.6,15.9,20.5,22.6,34.8,0
